,Referenzjahr,Stations_id,observed time emergence to beginning of flowering,observed time emergence to yellow ripeness,lat,lon
24847,2017.0,11817.0,66.0,,49.9667,10.6833
24848,2017.0,11827.0,69.0,,50.15,10.4333
24849,2017.0,11836.0,64.0,113.0,50.1833,10.3667
24850,2017.0,11857.0,57.0,131.0,50.3,10.4667
24851,2017.0,11882.0,60.0,,50.4167,10.3833
24852,2017.0,11891.0,69.0,,49.7,10.0833
24853,2017.0,11908.0,60.0,109.0,49.8833,10.0333
24854,2017.0,11917.0,56.0,,48.3942,10.8535
24855,2017.0,11933.0,59.0,107.0,48.7167,10.6167
24856,2017.0,11938.0,69.0,109.0,48.6167,10.4167
24857,2017.0,11971.0,61.0,143.0,48.15,10.1667
24858,2017.0,12013.0,60.0,105.0,48.1167,10.4667
24859,2017.0,12017.0,61.0,,48.75,11.0167
24860,2017.0,12026.0,87.0,146.0,48.3167,10.1
24861,2017.0,12035.0,75.0,,48.2667,10.8333
24862,2017.0,12038.0,63.0,134.0,48.1833,10.6833
24863,2017.0,12077.0,61.0,,49.4833,6.8667
24864,2017.0,12094.0,55.0,107.0,49.1667,7.05
24865,2017.0,12103.0,67.0,120.0,49.4167,6.9167
24866,2017.0,12105.0,63.0,,49.4667,6.9
24867,2017.0,12111.0,63.0,,49.2167,7.25
24868,2017.0,12156.0,66.0,,53.2167,14.3833
24869,2017.0,12162.0,94.0,130.0,53.15,14.1167
24870,2017.0,12173.0,66.0,115.0,52.8,14.1667
24871,2017.0,12206.0,66.0,106.0,52.1167,12.45
24872,2017.0,12258.0,66.0,111.0,51.5667,13.55
24873,2017.0,12259.0,82.0,123.0,51.5833,13.8167
24874,2017.0,12266.0,55.0,98.0,51.7333,14.5833
24875,2017.0,12289.0,69.0,118.0,53.0333,13.05
24876,2017.0,12294.0,63.0,112.0,51.8833,14.65
24877,2017.0,12306.0,72.0,116.0,51.8167,13.2333
24878,2017.0,12329.0,84.0,126.0,52.9333,12.4167
24879,2017.0,12335.0,66.0,,52.0167,13.8667
24880,2017.0,12347.0,62.0,105.0,51.7833,13.6167
24881,2017.0,12365.0,70.0,,52.65,13.1
24882,2017.0,12380.0,71.0,119.0,52.8333,12.9833
24883,2017.0,12418.0,75.0,121.0,53.3167,13.9
24884,2017.0,12420.0,75.0,120.0,53.25,12.2
24885,2017.0,12441.0,72.0,111.0,52.5,14.5833
24886,2017.0,12458.0,66.0,,52.5167,14.1167
24887,2017.0,12468.0,71.0,133.0,53.0667,12.55
24888,2017.0,12488.0,73.0,,54.0833,13.45
24889,2017.0,12508.0,63.0,125.0,53.7167,13.15
24890,2017.0,12522.0,97.0,146.0,54.1,11.6167
24891,2017.0,12539.0,67.0,125.0,53.7667,11.0333
24892,2017.0,12563.0,65.0,138.0,53.8167,12.0667
24893,2017.0,12615.0,63.0,120.0,53.9,12.8667
24894,2017.0,12633.0,76.0,136.0,53.5167,13.95
24895,2017.0,12634.0,81.0,126.0,53.3,14.2333
24896,2017.0,12642.0,72.0,128.0,54.15,12.5833
24897,2017.0,12656.0,71.0,133.0,54.0667,12.3167
24898,2017.0,12668.0,87.0,131.0,54.3533,13.4757
24899,2017.0,12684.0,73.0,,54.1833,12.9
24900,2017.0,12690.0,73.0,123.0,53.55,13.8333
24901,2017.0,12695.0,75.0,122.0,53.4667,13.6167
24902,2017.0,12709.0,77.0,114.0,53.7833,12.5833
24903,2017.0,12745.0,67.0,,54.0833,13.9167
24904,2017.0,12784.0,59.0,105.0,50.55,12.65
24905,2017.0,12810.0,59.0,,50.7,13.4333
24906,2017.0,12813.0,60.0,123.0,50.9333,12.8167
24907,2017.0,12830.0,62.0,105.0,51.1167,13.1167
24908,2017.0,12833.0,56.0,87.0,51.1167,13.1833
24909,2017.0,12841.0,66.0,102.0,51.1167,13.6
24910,2017.0,12873.0,61.0,123.0,50.8667,12.45
24911,2017.0,12875.0,59.0,110.0,50.8667,12.6167
24912,2017.0,12879.0,66.0,106.0,51.2667,15.0333
24913,2017.0,12883.0,76.0,123.0,51.1167,12.8
24914,2017.0,12899.0,74.0,143.0,50.7333,12.65
24915,2017.0,12905.0,66.0,112.0,51.2167,13.9167
24916,2017.0,12917.0,78.0,,50.9833,14.8
24917,2017.0,12921.0,65.0,125.0,51.1,14.65
24918,2017.0,12942.0,60.0,113.0,51.0667,13.2667
24919,2017.0,12944.0,66.0,,51.2167,13.3667
